,My knowledge of R is best described as:,Professionally I am best described as:,My age is:,I read the blog aggrogator R-bloggers:,My knowledge of statistics/econometrics/psychometrics is best described as:,I read the blog EconometricsBySimulation:,My favorite color is:,My gender is:,My area of research can best be described as:,My knowledge of R Shiny is best described as:,What... is the air-speed velocity of an unladen swallow?
User 1,Advanced,Graduate Student,26-35,daily,Advanced,daily,green,Male,Psychometrics,Moderate,What do you mean? An African or European swallow?
User 2,Moderate,Graduate Student,26-35,daily,Moderate,daily,blue,Male,Data Analysis,None,What do you mean? An African or European swallow?
User 3,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Moderate,weekly,green,Female,Psychometrics,Expert,What do you mean? An African or European swallow?
User 4,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer
User 5,Moderate,Professor,56 or older,daily,Advanced,never,blue,Male,Econometrics,None,~50 MPH
User 6,Moderate,Industry/Professional,26-35,monthly,None,monthly,blue,Male,Prefer not to answer,Moderate,What do you mean? An African or European swallow?
User 7,Advanced,Industry/Professional,36-45,daily,Moderate,monthly,orange,Male,Data Analysis,Prefer not to answer,What do you mean? An African or European swallow?
User 8,Moderate,Industry/Professional,26-35,daily,Basic,weekly,blue,Male,Data Analysis,Moderate,What do you mean? An African or European swallow?
User 9,Advanced,Undergraduate Student,less than 25,weekly,Moderate,weekly,blue,Male,Statistics,Moderate,What do you mean? An African or European swallow?
User 10,Advanced,Industry/Professional,Prefer not to answer,,,,,,Econometrics,None,Prefer not to answer
User 11,Advanced,Industry/Professional,26-35,daily,Advanced,never,green,Male,Data Analysis,Moderate,I don't know!
User 12,Moderate,Industry/Professional,26-35,daily,Advanced,monthly,blue,Prefer not to answer,Data Analysis,Basic,Prefer not to answer
User 13,Advanced,Industry/Professional,less than 25,daily,Advanced,never,green,Male,Statistics,Basic,~50 MPH
User 14,Expert,Professor,36-45,daily,Expert,monthly,Prefer not to answer,Male,Econometrics,Basic,I don't know!
User 15,Expert,Professor,26-35,daily,Advanced,never,green,Male,Data Analysis,Basic,What do you mean? An African or European swallow?
User 16,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Expert,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer
User 17,Basic,Graduate Student,Graduate Student,,,,,,,,I don't know!
User 18,Basic,Graduate Student,26-35,daily,Basic,Prefer not to answer,blue,Male,Data Analysis,Basic,I don't know!
User 19,Advanced,Professor,26-35,weekly,Moderate,monthly,Prefer not to answer,Male,Data Analysis,Basic,What do you mean? An African or European swallow?
User 20,Prefer not to answer,,,,,,blue,Male,Prefer not to answer,None,What do you mean? An African or European swallow?
User 21,Advanced,Prefer not to answer,36-45,,,,,Male,Data Analysis,Moderate,I don't know!
User 22,Advanced,Industry/Professional,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer
User 23,Advanced,Industry/Professional,26-35,weekly,Moderate,never,blue,Male,Statistics,Basic,I don't know!
User 24,Moderate,Graduate Student,26-35,weekly,Basic,never,blue,Male,Data Analysis,None,~50 MPH
User 25,Basic,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer
User 26,Moderate,Undergraduate Student,36-45,daily,None,weekly,blue,Female,Statistics,Moderate,~50 MPH
User 27,Advanced,Prefer not to answer,36-45,daily,Expert,weekly,red,Male,Data Analysis,Basic,~50 MPH
User 28,Advanced,Graduate Student,26-35,weekly,Advanced,never,blue,Male,Data Analysis,Moderate,Prefer not to answer
User 29,Advanced,Industry/Professional,36-45,daily,Advanced,never,blue,Male,Statistics,Basic,I don't know!
User 30,Moderate,Prefer not to answer,Prefer not to answer,weekly,Moderate,daily,red,Male,Data Analysis,Basic,What do you mean? An African or European swallow?
User 31,Moderate,Prefer not to answer,Prefer not to answer,weekly,Moderate,daily,red,Male,Data Analysis,Basic,I don't know!
User 32,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer
User 33,Advanced,Graduate Student,less than 25,daily,Advanced,weekly,blue,Female,Statistics,Moderate,What do you mean? An African or European swallow?
User 34,Advanced,Industry/Professional,36-45,daily,Advanced,never,red,Male,Data Analysis,None,What do you mean? An African or European swallow?
User 35,Moderate,Industry/Professional,46-55,weekly,Moderate,weekly,red,Female,Statistics,Basic,~50 MPH
User 36,Moderate,Industry/Professional,46-55,weekly,Moderate,weekly,red,Female,Statistics,Basic,What do you mean? An African or European swallow?
User 37,Moderate,Professor,46-55,daily,Moderate,Prefer not to answer,blue,Male,Prefer not to answer,None,What do you mean? An African or European swallow?
User 38,Moderate,Moderate,26-35,26-35,Prefer not to answer,daily,green,Male,Graphical Design,Moderate,What do you mean? An African or European swallow?
User 39,Advanced,Industry/Professional,26-35,daily,Moderate,weekly,blue,Male,Econometrics,None,I don't know!
User 40,Advanced,Industry/Professional,36-45,weekly,Basic,Prefer not to answer,blue,Male,Prefer not to answer,Advanced,I don't know!
User 41,Advanced,Industry/Professional,36-45,weekly,Basic,never,green,Male,Data Analysis,Moderate,What do you mean? An African or European swallow?
User 42,Advanced,Graduate Student,26-35,daily,Moderate,never,orange,Male,Data Analysis,None,What do you mean? An African or European swallow?
User 43,Basic,Industry/Professional,46-55,monthly,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer
User 44,,Industry/Professional,26-35,daily,Basic,never,blue,Male,Data Analysis,Basic,I don't know!
User 45,Moderate,Undergraduate Student,26-35,daily,Basic,never,green,Male,Data Analysis,Basic,What do you mean? An African or European swallow?
User 46,Advanced,Graduate Student,less than 25,daily,Prefer not to answer,never,orange,Male,Prefer not to answer,None,I don't know!
User 47,Moderate,Graduate Student,26-35,weekly,Moderate,never,Prefer not to answer,Male,Data Analysis,None,I don't know!
User 48,Moderate,Graduate Student,26-35,weekly,Moderate,never,Prefer not to answer,Male,Data Analysis,None,What do you mean? An African or European swallow?
User 49,Moderate,Graduate Student,26-35,weekly,Moderate,never,Prefer not to answer,Male,Data Analysis,None,I don't know!
User 50,Expert,Professor,36-45,weekly,Advanced,monthly,orange,Male,Data Analysis,Prefer not to answer,Prefer not to answer
User 51,Expert,Graduate Student,Prefer not to answer,weekly,Moderate,weekly,pink,Female,Data Analysis,Advanced,What do you mean? An African or European swallow?
User 52,Expert,Graduate Student,26-35,daily,Moderate,weekly,red,Male,Prefer not to answer,Basic,I don't know!
User 53,Basic,Industry/Professional,26-35,daily,Basic,weekly,orange,Male,Data Analysis,Moderate,What do you mean? An African or European swallow?
User 54,Moderate,Industry/Professional,36-45,daily,Advanced,monthly,green,Male,Psychometrics,Basic,What do you mean? An African or European swallow?
User 55,,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer
User 56,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Male,Statistics,Basic,What do you mean? An African or European swallow?
User 57,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer
User 58,Moderate,Industry/Professional,26-35,weekly,Advanced,never,blue,Male,Statistics,Prefer not to answer,I don't know!
User 59,Moderate,Industry/Professional,26-35,weekly,Advanced,never,blue,Male,Statistics,Basic,What do you mean? An African or European swallow?
User 60,Moderate,Industry/Professional,Prefer not to answer,,,,,,,,I don't know!
User 61,Advanced,Industry/Professional,36-45,daily,None,Prefer not to answer,blue,Male,Data Analysis,None,I don't know!
User 62,Advanced,Industry/Professional,36-45,daily,None,never,Prefer not to answer,Male,Data Analysis,Basic,What do you mean? An African or European swallow?
User 63,Advanced,Graduate Student,26-35,daily,Moderate,never,pink,Male,Data Analysis,Advanced,What do you mean? An African or European swallow?
User 64,Moderate,Professor,36-45,daily,Basic,never,red,Male,Data Analysis,None,I don't know!
User 65,Basic,Industry/Professional,36-45,weekly,Basic,monthly,Prefer not to answer,Male,Prefer not to answer,Basic,Prefer not to answer
User 66,Moderate,Graduate Student,26-35,daily,Moderate,never,Prefer not to answer,Male,Data Analysis,None,Prefer not to answer
User 67,Advanced,Undergraduate Student,less than 25,daily,Moderate,never,blue,Male,Data Analysis,Expert,I don't know!
User 68,Expert,Graduate Student,26-35,daily,Advanced,never,blue,Male,Data Analysis,Moderate,I don't know!
User 69,Prefer not to answer,Prefer not to answer,Prefer not to answer,,,,blue,Male,Data Analysis,Advanced,Prefer not to answer
User 70,Prefer not to answer,Prefer not to answer,less than 25,Prefer not to answer,Prefer not to answer,,blue,Male,Data Analysis,Advanced,~50 MPH
User 71,Advanced,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,orange,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer
User 72,Advanced,Industry/Professional,46-55,daily,Basic,monthly,green,Male,Statistics,Advanced,I don't know!
User 73,Advanced,Industry/Professional,46-55,daily,Prefer not to answer,monthly,green,Male,Data Analysis,Moderate,Prefer not to answer
User 74,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer
User 75,Advanced,Graduate Student,less than 25,daily,Moderate,weekly,blue,Male,Prefer not to answer,Basic,I don't know!
User 76,,,,,,,,,Data Analysis,Advanced,I don't know!
User 77,None,Undergraduate Student,36-45,daily,Moderate,daily,green,Male,Psychometrics,Advanced,~50 MPH
User 78,Prefer not to answer,,,,,,,,Statistics,Basic,Prefer not to answer
User 79,Advanced,Graduate Student,46-55,weekly,Moderate,never,Prefer not to answer,Male,Prefer not to answer,Basic,I don't know!
User 80,Expert,Graduate Student,26-35,weekly,Expert,never,blue,Male,Data Analysis,Moderate,I don't know!
User 81,Moderate,Industry/Professional,36-45,daily,Moderate,monthly,Prefer not to answer,Male,Data Analysis,Basic,I don't know!
User 82,Moderate,Industry/Professional,36-45,daily,Moderate,monthly,Prefer not to answer,Male,Data Analysis,Basic,What do you mean? An African or European swallow?
User 83,,,,,,,,,,,I don't know!
User 84,Basic,Industry/Professional,36-45,weekly,Advanced,monthly,red,Male,Statistics,None,What do you mean? An African or European swallow?
User 85,Advanced,Industry/Professional,46-55,daily,Advanced,never,Prefer not to answer,Male,Data Analysis,Moderate,What do you mean? An African or European swallow?
User 86,Advanced,Industry/Professional,46-55,daily,Advanced,never,blue,Male,Data Analysis,None,Prefer not to answer
User 87,Basic,Professor,36-45,daily,Moderate,never,green,Male,Data Analysis,None,What do you mean? An African or European swallow?
User 88,Moderate,Industry/Professional,less than 25,daily,Prefer not to answer,,blue,Male,Data Analysis,None,Prefer not to answer
User 89,Moderate,Industry/Professional,less than 25,daily,Moderate,never,Prefer not to answer,Male,Data Analysis,None,I don't know!
User 90,Moderate,Industry/Professional,less than 25,daily,Moderate,never,Prefer not to answer,Male,Data Analysis,Basic,What do you mean? An African or European swallow?
User 91,Advanced,Industry/Professional,26-35,daily,Moderate,never,blue,Male,Prefer not to answer,None,What do you mean? An African or European swallow?
User 92,,Industry/Professional,26-35,daily,Advanced,Prefer not to answer,blue,Male,Data Analysis,Advanced,Prefer not to answer
User 93,Basic,Graduate Student,26-35,daily,Moderate,weekly,blue,Male,Data Analysis,Moderate,Prefer not to answer
User 94,Prefer not to answer,,,,,,red,Male,Data Analysis,Moderate,What do you mean? An African or European swallow?
User 95,,,,,,,blue,Male,Psychometrics,Basic,What do you mean? An African or European swallow?
User 96,Advanced,Undergraduate Student,36-45,daily,daily,weekly,weekly,Male,Data Analysis,Data Analysis,I don't know!
User 97,Moderate,Professor,36-45,daily,Prefer not to answer,never,red,Male,Statistics,None,What do you mean? An African or European swallow?
User 98,Moderate,Professor,36-45,daily,Moderate,never,green,Male,Prefer not to answer,None,Prefer not to answer
User 99,Expert,Industry/Professional,36-45,daily,Moderate,never,Prefer not to answer,Male,Data Analysis,Advanced,What do you mean? An African or European swallow?
User 100,Advanced,Industry/Professional,26-35,daily,Advanced,never,orange,Male,Statistics,Basic,What do you mean? An African or European swallow?
User 101,None,Prefer not to answer,36-45,Prefer not to answer,Expert,daily,pink,Female,Econometrics,Moderate,What do you mean? An African or European swallow?
User 102,,Industry/Professional,26-35,Prefer not to answer,,,,,,Basic,What do you mean? An African or European swallow?
User 103,Advanced,Prefer not to answer,,,,,,,Data Analysis,Basic,What do you mean? An African or European swallow?
User 104,Advanced,Industry/Professional,26-35,daily,Moderate,never,blue,Male,Data Analysis,Basic,I don't know!
User 105,Moderate,Professor,26-35,daily,Moderate,never,blue,Male,Data Analysis,None,I don't know!
User 106,Advanced,Graduate Student,26-35,daily,Advanced,never,blue,Prefer not to answer,Data Analysis,Basic,~50 MPH
User 107,Advanced,Graduate Student,26-35,daily,Advanced,never,blue,Male,Psychometrics,Basic,What do you mean? An African or European swallow?
User 108,,,,,,,,,Data Analysis,None,What do you mean? An African or European swallow?
User 109,Advanced,Industry/Professional,36-45,daily,Advanced,daily,orange,Male,Data Analysis,Moderate,I don't know!
User 110,Advanced,Graduate Student,26-35,weekly,Advanced,Prefer not to answer,Prefer not to answer,Male,Statistics,None,Prefer not to answer
User 111,Advanced,Professor,56 or older,daily,Advanced,never,Prefer not to answer,Male,Statistics,Advanced,Prefer not to answer
User 112,Advanced,Professor,56 or older,daily,Advanced,never,Prefer not to answer,Male,Statistics,Advanced,What do you mean? An African or European swallow?
User 113,Prefer not to answer,,,,,,,,,,
User 114,Advanced,Graduate Student,26-35,weekly,Moderate,never,pink,Male,Statistics,Advanced,What do you mean? An African or European swallow?
User 115,Moderate,Industry/Professional,26-35,daily,Basic,Prefer not to answer,red,Male,Data Analysis,None,What do you mean? An African or European swallow?
User 116,Advanced,Industry/Professional,26-35,daily,Advanced,Prefer not to answer,Prefer not to answer,Male,Prefer not to answer,Advanced,What do you mean? An African or European swallow?
